iter	Passed	Remaining
399	95123	142685
400	95402	142509
401	95700	142359
402	95967	142165
403	96268	142020
404	96561	141862
405	96857	141707
406	97127	141514
407	97393	141316
408	97659	141117
409	97912	140898
410	98152	140661
411	98397	140430
412	98634	140189
413	98854	139924
414	99067	139649
415	99289	139387
416	99509	139121
417	99732	138861
418	99955	138601
419	100171	138331
420	100378	138049
421	100615	137809
422	100814	137517
423	101025	137242
424	101270	137013
425	101472	136726
426	101715	136493
427	101951	136252
428	102140	135948
429	102360	135687
430	102584	135429
431	102777	135133
432	102995	134869
433	103247	134649
434	103462	134382
435	103665	134099
436	103887	133840
437	104107	133580
438	104331	133325
439	104542	133054
440	104761	132792
441	104974	132524
442	105192	132262
443	105414	132005
444	105621	131730
445	105847	131478
446	106062	131213
447	106289	130963
448	106521	130720
449	106737	130457
450	106932	130167
451	107167	129928
452	107411	129699
453	107653	129468
454	107869	129206
455	108097	128958
456	108333	128719
457	108543	128450
458	108775	128208
459	108978	127931
460	109183	127657
461	109415	127414
462	109648	127173
463	109872	126922
464	110071	126641
465	110272	126363
466	110471	126084
467	110696	125834
468	110906	125567
469	111117	125303
470	111338	125048
471	111540	124774
472	111741	124498
473	111930	124210
474	112129	123932
475	112336	123664
476	112522	123374
477	112726	123102
478	112952	122856
479	113166	122597
480	113386	122344
481	113603	122088
482	113818	121830
483	114043	121583
484	114255	121323
485	114448	121042
486	114674	120796
487	114873	120523
488	115062	120238
489	115248	119952
490	115449	119682
491	115654	119415
492	115871	119161
493	116076	118896
494	116270	118619
495	116472	118350
496	116660	118069
497	116851	117789
498	117046	117515
499	117266	117266
500	117454	116985
501	117646	116708
502	117855	116449
503	118077	116203
504	118293	115951
505	118501	115691
506	118724	115446
507	118939	115193
508	119154	114941
509	119355	114674
510	119551	114404
511	119765	114151
512	119994	113912
513	120206	113658
514	120428	113413
515	120664	113180
516	120881	112932
517	121114	112696
518	121329	112445
519	121542	112192
520	121771	111955
521	121987	111705
522	122205	111457
523	122411	111198
524	122620	110942
525	122824	110682
526	123047	110439
527	123286	110210
528	123489	109950
529	123698	109695
530	123904	109437
531	124103	109173
532	124338	108941
533	124558	108697
534	124771	108446
535	125005	108213
536	125218	107963
537	125418	107701
538	125641	107459
539	125866	107219
540	126072	106963
541	126308	106732
542	126558	106514
543	126802	106290
544	127044	106064
545	127282	105835
546	127514	105601
547	127742	105363
548	127975	105130
549	128188	104881
550	128399	104630
551	128605	104375
552	128822	104129
553	129057	103898
554	129283	103659
555	129504	103417
556	129719	103170
557	129948	102934
558	130179	102700
559	130371	102434
560	130593	102193
561	130807	101946
562	131028	101704
563	131239	101454
564	131441	101198
565	131656	100952
566	131867	100702
567	132072	100449
568	132276	100195
569	132478	99939
570	132710	99707
571	132921	99458
572	133158	99229
573	133372	98983
574	133584	98736
575	133815	98502
576	134014	98246
577	134236	98006
578	134459	97767
579	134659	97511
580	134842	97244
581	135076	97013
582	135293	96770
583	135511	96528
584	135718	96278
585	135935	96036
586	136163	95801
587	136356	95542
588	136578	95303
589	136742	95024
590	136955	94779
591	137149	94522
592	137354	94271
593	137540	94009
594	137774	93779
595	137993	93539
596	138151	93258
597	138346	93002
598	138566	92763
599	138774	92516
600	139010	92288
601	139267	92073
602	139464	91819
603	139712	91599
604	139917	91351
605	140144	91116
606	140354	90872
607	140555	90621
608	140762	90374
609	140985	90138
610	141194	89893
611	141403	89648
612	141621	89408
613	141829	89163
614	142050	88925
615	142255	88678
616	142469	88437
617	142674	88190
618	142901	87957
619	143100	87706
620	143311	87464
621	143550	87238
622	143756	86992
623	143958	86744
624	144178	86506
625	144396	86268
626	144582	86011
627	144826	85788
628	145039	85547
629	145265	85314
630	145472	85070
631	145654	84811
632	145843	84557
633	146055	84316
634	146272	84077
635	146513	83853
636	146756	83630
637	147033	83426
638	147302	83217
639	147541	82992
640	147784	82768
641	148024	82543
642	148225	82296
643	148438	82056
644	148660	81821
645	148882	81585
646	149080	81337
647	149283	81092
648	149485	80846
649	149674	80594
650	149870	80345
651	150064	80095
652	150279	79857
653	150501	79622
654	150698	79375
655	150871	79115
656	151091	78880
657	151283	78630
658	151487	78387
659	151691	78143
660	151918	77913
661	152112	77664
662	152336	77432
663	152540	77189
664	152719	76933
665	152927	76693
666	153116	76443
667	153319	76200
668	153526	75960
669	153744	75724
670	153953	75485
671	154156	75242
672	154363	75002
673	154569	74762
674	154795	74531
675	155006	74292
676	155209	74051
677	155429	73817
678	155638	73578
679	155832	73332
680	156055	73100
681	156287	72872
682	156499	72636
683	156699	72393
684	156889	72146
685	157090	71904
686	157302	71667
687	157530	71438
688	157736	71198
689	157984	70978
690	158193	70740
691	158386	70495
692	158627	70272
693	158832	70032
694	159046	69797
695	159234	69550
696	159438	69311
697	159643	69071
698	159834	68827
699	160056	68595
700	160269	68360
701	160459	68115
702	160670	67879
703	160876	67641
704	161080	67402
705	161261	67154
706	161442	66906
707	161639	66665
708	161844	66427
709	162067	66196
710	162255	65952
711	162469	65717
712	162682	65483
713	162886	65245
714	163091	65008
715	163316	64779
716	163529	64545
717	163737	64309
718	163933	64068
719	164144	63834
720	164352	63598
721	164571	63366
722	164793	63136
723	165002	62901
724	165210	62666
725	165423	62432
726	165594	62183
727	165796	61945
728	166010	61713
729	166217	61477
730	166405	61235
731	166593	60993
732	166798	60757
733	166997	60519
734	167180	60275
735	167387	60041
736	167593	59806
737	167793	59568
738	167987	59329
739	168191	59094
740	168412	58864
741	168614	58628
742	168815	58392
743	169029	58160
744	169248	57930
745	169460	57698
746	169659	57461
747	169871	57229
748	170081	56996
749	170288	56762
750	170509	56533
751	170713	56299
752	170911	56062
753	171114	55827
754	171314	55592
755	171528	55361
756	171737	55128
757	171925	54889
758	172144	54659
759	172357	54428
760	172552	54191
761	172749	53955
762	172942	53718
763	173146	53485
764	173334	53246
765	173533	53011
766	173735	52777
767	173927	52540
768	174162	52316
769	174383	52088
770	174597	51858
771	174809	51627
772	175026	51398
773	175246	51170
774	175440	50934
775	175658	50705
776	175863	50472
777	176066	50240
778	176258	50004
779	176465	49772
780	176682	49543
781	176867	49305
782	177091	49078
783	177302	48848
784	177507	48616
785	177725	48388
786	177933	48157
787	178147	47928
788	178373	47701
789	178566	47466
790	178783	47238
791	178991	47007
792	179201	46777
793	179421	46550
794	179651	46325
795	179893	46103
796	180090	45869
797	180319	45644
798	180521	45412
799	180736	45184
800	180943	44953
801	181148	44722
802	181360	44493
803	181575	44264
804	181784	44034
805	181980	43801
806	182177	43569
807	182378	43337
808	182595	43109
809	182823	42884
810	183038	42656
811	183284	42435
812	183527	42213
813	183726	41981
814	183958	41757
815	184182	41531
816	184389	41301
817	184563	41064
818	184748	40829
819	184962	40601
820	185170	40372
821	185397	40146
822	185667	39930
823	185885	39703
824	186143	39485
825	186455	39277
826	186751	39066
827	187021	38849
828	187289	38632
829	187563	38416
830	187841	38201
831	188135	37988
832	188442	37779
833	188713	37561
834	189012	37349
835	189339	37143
836	189635	36930
837	189951	36720
838	190228	36503
839	190494	36284
840	190748	36063
841	191043	35849
842	191328	35632
843	191597	35413
844	191898	35200
845	192170	34981
846	192406	34755
847	192647	34531
848	192863	34302
849	193101	34076
850	193353	33853
851	193587	33627
852	193832	33403
853	194055	33175
854	194283	32948
855	194512	32721
856	194757	32497
857	195036	32278
858	195277	32053
859	195509	31827
860	195746	31601
861	195992	31376
862	196233	31151
863	196502	30930
864	196738	30704
865	196981	30479
866	197200	30251
867	197450	30026
868	197694	29801
869	197936	29576
870	198172	29350
871	198410	29124
872	198662	28900
873	198906	28675
874	199133	28447
875	199343	28217
876	199544	27986
877	199750	27755
878	199974	27527
879	200193	27299
880	200398	27068
881	200641	26843
882	200863	26614
883	201075	26385
884	201313	26159
885	201536	25931
886	201730	25699
887	201949	25471
888	202160	25241
889	202369	25011
890	202596	24784
891	202817	24556
892	203056	24330
893	203282	24102
894	203499	23874
895	203710	23644
896	203945	23418
897	204171	23190
898	204381	22961
899	204593	22732
900	204800	22503
901	205042	22277
902	205265	22049
903	205469	21819
904	205667	21589
905	205900	21362
906	206131	21135
907	206354	20908
908	206563	20679
909	206780	20450
910	207003	20223
911	207196	19992
912	207411	19764
913	207609	19534
914	207817	19305
915	208007	19074
916	208185	18843
917	208369	18612
918	208575	18383
